unom,t_inside,c1,ro1,V,alpha,A,t_in_5_hours,t_in_10_hours,t_in_15_hours,t_in_20_hours,t_in_25_hours,t_in_30_hours,hours_untill_cooling
1940.0,26,1016,1293,6978,3.039855946958304,1919.474928203023,-1,-5,-6,-6,-8,-6,13
65669.0,25,1050,1364,9819,2.410990252992676,2746.0866701544583,14,10,8,10,9,10,40
81109.0,27,1104,1412,5685,2.827433018207282,2023.165836010484,9,5,0,2,4,7,21
74852.0,26,735,1361,8157,2.4801434644004763,2502.9135023008685,9,7,4,4,2,4,17
63283.0,24,1250,1419,8937,2.898216014745792,2536.6592203132054,2,0,-2,1,-1,3,19
30914.0,27,1012,1171,7659,2.4318817771232832,1485.1908968210114,13,7,4,6,9,10,44
10698.0,25,1138,1438,5859,3.0986469939633956,1298.9965357921476,4,3,1,1,2,3,24
43151.0,27,1097,1442,6087,2.672089249938794,2162.1322808746,-8,-9,-13,-11,-10,-12,12
2053.0,23,980,1081,10899,2.9865821443692737,1771.6974911084567,1,-2,-5,-1,-2,-4,13
43598.0,22,1128,1485,5346,2.63586150089955,2026.2596082437217,17,15,12,12,12,11,27
36583.0,22,917,1280,5979,2.3462402321285474,2004.4670114521718,5,2,0,4,0,3,9
70805.0,25,1019,1090,9930,2.811142687199186,2391.5852483237973,-8,-13,-12,-12,-11,-13,9
16378.0,26,834,1310,11958,2.97084743115787,1694.083823191757,10,11,8,10,6,10,42
52057.0,26,798,1295,5211,3.1600514565489473,2236.6403376493054,-9,-13,-15,-16,-12,-11,4
39700.0,28,1027,1226,5259,3.0140119360787594,1230.687612678376,9,7,9,7,7,10,37
28361.0,28,883,1467,10431,2.791919929328147,2740.496305416229,6,2,1,4,2,5,26
66426.0,28,870,1325,3786,2.658356505611187,953.226101195304,17,15,10,14,12,16,59
58762.0,23,1149,1097,3975,2.3516033845614235,1747.2263734273245,-10,-14,-16,-11,-14,-11,5
77540.0,22,1297,1410,8253,2.6777140010064007,2437.6546104811487,17,11,13,14,13,13,37
58057.0,23,1260,1447,7026,2.538148555216668,1298.5530408882032,1,-2,-5,-2,-4,-1,22
26981.0,24,1052,1150,8223,3.0106758401557365,1776.9727065996258,-14,-19,-19,-16,-18,-15,8
43589.0,26,948,1069,11043,2.641549226548642,2302.3118815660055,8,7,3,6,4,7,26
52131.0,27,943,891,3258,2.621171883762336,1186.362507836454,-13,-12,-16,-12,-12,-11,6
6785.0,28,1163,1095,10359,2.9883372315322836,2820.5871729127607,-11,-16,-19,-13,-14,-15,11
41309.0,25,730,893,4662,2.588874364221714,1705.6048780418046,1,0,-3,0,0,4,6
41980.0,25,1143,1499,3369,2.8423912263559012,1706.111367994481,0,-3,-8,-3,-2,-6,9
44166.0,27,995,1049,8199,2.365236301549634,1536.656109869739,8,2,1,4,5,2,30
67447.0,28,1032,1364,3906,2.710406574617312,1298.9965357921474,11,10,10,12,11,12,38
65801.0,21,1182,1239,5913,2.8446915402462976,1920.8623063613904,4,-3,-1,0,1,0,6
76676.0,26,712,1015,11283,2.5245566478576107,2549.315202167045,4,2,-2,0,0,-3,12
60965.0,25,1195,1409,9753,2.7361280628728215,1810.2508113518413,0,1,-5,-3,-4,-3,27
82105.0,21,1090,1135,9243,2.8494737455224173,2978.805129577966,12,7,4,6,4,5,9
35329.0,25,1204,943,4332,2.9657060734279135,1019.646997739904,-9,-12,-14,-12,-10,-11,9
45425.0,24,874,980,9738,3.028767146777028,2734.73655038287,1,-4,-4,-4,-6,-4,6
5545.0,27,1059,1487,4911,2.4578378476244374,1535.3436097499477,-14,-14,-17,-15,-15,-18,13
43586.0,22,1200,1300,4659,2.7842790136944706,1495.4330476487407,-6,-3,-9,-6,-8,-3,7
76183.0,22,1173,1341,4728,2.414334301168572,1650.250890016424,16,17,14,13,15,16,35
30302.0,22,1081,896,10851,2.7413175799224034,1767.7918429498422,3,6,1,2,3,1,14
2645.0,27,1212,1252,6069,2.8787748335558554,1790.092735027993,-11,-9,-15,-13,-14,-10,13
34881.0,21,755,1054,9534,2.4484911185618414,1913.388617087496,5,3,0,1,2,4,7
53777.0,22,898,1343,7518,3.0500269933373367,1992.36141299715,-11,-13,-17,-14,-12,-15,4
70473.0,22,873,1050,5514,3.079147104204015,1455.1206135575153,-2,-3,-4,-2,-5,-1,5
2527.0,23,1056,1268,3354,2.686372183997964,1553.988416945249,13,8,4,9,8,7,12
66488.0,28,1241,1041,5748,2.5699001961094488,1742.1090666201126,-16,-20,-22,-19,-17,-19,11
60282.0,26,1128,1020,3030,2.3630399942133398,1144.0978979090908,4,7,3,4,6,4,16
67720.0,28,1282,847,7770,3.0104056001789634,2590.9998070243078,14,11,5,11,8,9,22
16454.0,22,886,1055,4587,2.355800117064625,1149.3720024430734,16,12,10,9,12,12,19
23068.0,21,1002,1136,4065,2.4660358365935138,1874.075772214133,8,8,3,5,3,9,6
55378.0,26,1015,1467,6789,2.424784335450947,2552.927731057031,-11,-15,-15,-14,-17,-13,9
46660.0,27,1067,892,4785,3.0946956216011374,1071.6342659695051,10,5,5,5,4,7,20
44608.0,21,763,1312,4077,2.520080714907499,1170.4153109046379,9,12,5,11,6,8,11
14835.0,22,725,1144,8952,2.591575599108407,2702.74527101612,11,4,5,4,5,6,8
68289.0,23,994,867,8238,2.5594632536941835,2515.309921262189,-15,-18,-20,-17,-15,-15,4
3666.0,25,1136,1015,3633,2.440349793236165,1252.7793101739826,16,13,11,15,15,12,38
47040.0,24,895,1439,5046,3.104380794564939,1906.074500117978,5,1,1,4,3,5,10
80094.0,24,910,1369,3447,2.719778006872472,1773.0380706572546,-2,-3,-6,-3,-5,-3,6
55490.0,22,785,1320,6168,2.567321302456049,1216.6840181411112,17,14,10,11,9,13,29
23419.0,24,1027,1482,3735,2.91138031722068,1745.7834917308614,-15,-17,-18,-15,-15,-14,4
43166.0,22,916,844,3366,2.3414785683718153,1657.3038345457362,4,7,3,2,3,6,4
29096.0,22,726,1169,3786,2.6181264682409804,1413.8627939089424,6,3,-1,1,2,4,5
73004.0,24,1031,1130,7731,2.86403681378529,2724.290733383645,-5,-10,-11,-10,-13,-7,6
49694.0,24,1237,986,7671,3.123100089632576,1605.4457324992331,11,7,6,7,6,10,24
73360.0,26,1000,1344,9396,2.551002036668417,1501.679060252223,4,0,-3,2,1,2,35
6494.0,22,1090,1292,4191,2.7503333404967654,1345.5526745542145,4,4,4,5,4,2,11
1424.0,25,877,1066,8340,2.818638154291896,2191.7664109115276,-11,-12,-16,-14,-15,-11,7
63591.0,26,1111,1037,7410,2.993032602469988,2385.556538839522,12,13,9,12,9,13,23
24567.0,22,1059,921,6579,2.706369259761378,2449.4995407225533,4,4,0,0,-1,3,5
49910.0,21,1250,1403,5742,2.7875151260384534,1574.9742855043696,-9,-6,-11,-7,-8,-6,6
83277.0,28,817,1200,11004,2.504843143930531,2410.417391241608,8,7,6,6,8,6,34
38174.0,23,1056,1340,10974,2.3975559467644887,1777.7828888815418,-4,-7,-9,-6,-11,-10,17
24193.0,26,930,804,3906,2.7101351135239145,1936.4297043786532,10,10,4,8,6,8,8
83225.0,26,928,935,5076,2.4758830834116408,2094.1976984038542,-10,-9,-15,-10,-12,-13,5
29865.0,28,1052,1136,10587,2.9832439359683356,2939.216222056486,-6,-4,-8,-6,-10,-6,13
71005.0,24,765,846,9594,3.0233061193984185,2350.7751912932895,4,5,4,2,6,5,8
55689.0,26,958,1335,8580,2.531925624162302,2029.3841430345315,14,14,12,13,16,14,65
78614.0,22,767,1440,10347,3.084039920926665,1864.562146993229,-2,-3,-4,-4,-6,-6,9
66054.0,21,887,1149,5646,3.052647720589743,2146.424002847527,2,-1,0,1,-2,0,3
38400.0,21,765,1067,9756,2.638578423123163,2052.947149831188,5,-2,0,-1,0,-2,6
55092.0,27,850,1031,11403,2.8803949774383852,2562.8359292003065,11,5,5,5,4,8,22
18392.0,21,901,1152,7872,2.4080955227144347,1626.343137225352,17,15,13,14,13,14,27
38989.0,28,1254,1034,5076,2.3578708348150115,1974.428524915501,-14,-13,-15,-13,-14,-15,10
83839.0,25,824,1442,10644,2.8440365132480925,2260.3362581704523,15,16,9,12,12,15,47
34466.0,22,1058,1150,7926,2.8302328256877747,1510.8567106115656,-13,-17,-18,-18,-21,-17,6
19163.0,26,798,860,4668,2.578198591983213,1639.7463218437174,-16,-14,-19,-17,-16,-13,4
1538.0,27,871,847,7272,3.048372248916312,1959.4938121872187,-12,-14,-19,-16,-18,-14,6
12846.0,27,1270,1159,4833,3.013910287540303,1985.8821717312437,4,2,-2,3,0,1,14
27764.0,23,1103,1281,4590,2.6560598061784,2045.9912023271265,-13,-19,-22,-18,-20,-16,4
73011.0,22,1199,1353,6540,2.367881441545569,1372.4139317275963,1,-3,-4,-5,-6,-1,15
31083.0,25,748,1296,6231,3.1521186941966635,1729.416086429174,-7,-9,-11,-8,-10,-8,7
6751.0,22,1289,1454,8793,3.105545864122759,2054.419626074479,-5,-7,-10,-9,-7,-7,9
35571.0,25,881,1414,10152,2.5479621890467623,2418.17120981952,6,0,-1,2,3,2,20
61707.0,24,1279,1190,8448,2.856363831141016,2775.7118006017845,-13,-11,-15,-11,-13,-13,7
9433.0,28,1199,1151,4023,2.389884966296981,1457.4443385597956,-17,-17,-21,-19,-20,-15,10
27101.0,25,1116,970,4590,2.681998878232935,1556.765878351655,1,0,-4,0,-2,0,10
76437.0,21,994,1100,10737,2.432043337690675,1605.2663330425887,-16,-17,-20,-20,-16,-15,6
37716.0,27,1158,1299,6378,2.4861880207022793,1355.3095587355679,9,6,0,5,3,4,39
58361.0,25,1106,1280,10272,3.1318756792218676,3060.7293248505334,5,5,1,3,2,6,17
2316.0,24,996,999,6912,3.0301888256076577,1629.1740238538055,8,7,2,5,5,3,14
2407.0,26,849,965,6915,2.7106462125765414,2444.2913083345857,-4,-9,-9,-7,-11,-6,6
44832.0,24,871,859,3084,3.038510090156019,1216.6840181411112,10,9,7,10,10,8,8
17453.0,25,997,1015,3489,2.3458683820502326,1002.4130885019408,-14,-18,-20,-16,-15,-16,7
61476.0,24,727,1219,9822,3.1471498215003386,2992.9356825698746,-7,-7,-8,-7,-7,-6,5
8992.0,24,779,886,8460,3.0472974331072007,2777.6824872544375,-15,-20,-18,-17,-19,-15,2
26688.0,27,955,1308,8028,3.1503048071748423,2559.4624435611477,14,12,10,16,15,17,40
79940.0,22,1139,1454,4821,2.4185140269077485,1360.6116271736032,3,0,-1,1,2,5,15
6283.0,26,810,921,9288,3.0471967829280144,2986.047554879192,11,6,4,10,9,11,12
57200.0,27,1113,1497,9348,2.795669825723222,2919.824652269379,16,13,11,16,16,16,62
51488.0,21,896,898,11889,2.814244967451033,2723.7356699944285,-3,-4,-6,-3,-6,-3,4
65431.0,28,1101,877,10479,2.9647121582940934,2352.2142759536173,12,12,10,9,8,9,32
60563.0,28,857,1178,6357,2.8469597424325954,1461.4896510068077,-5,-11,-10,-9,-13,-8,13
38920.0,22,917,919,3606,2.5659045733354664,1664.1538390425326,5,2,0,2,2,5,4
41079.0,26,1127,1275,9051,3.0862432345551194,1743.8853173302425,0,-2,-3,-4,-2,-2,21
12260.0,23,1282,1106,6573,2.7730108165345717,2448.3823230860003,1,0,-4,-2,-5,-1,8
2010.0,24,1102,943,4233,2.7948652207592546,1964.814495060539,2,-2,-4,-2,-5,-2,5
3451.0,27,887,1326,10206,2.6215256604871913,2799.6799817121955,15,12,12,14,13,11,41
22771.0,26,1175,1316,10557,2.6053405850998477,1591.7537497992585,18,17,11,14,13,17,120
3193.0,27,1134,861,11076,3.1641647810866944,3260.821982261528,-7,-12,-15,-12,-14,-12,7
76144.0,23,1122,1018,7188,2.334998249444786,2034.7697658457578,1,2,-2,-2,1,1,11
81107.0,22,995,842,9279,2.5196169536245074,2831.440622721939,11,11,6,8,11,8,12
37039.0,23,1284,1253,6057,2.544732311718951,1788.3221186352305,-12,-14,-12,-11,-13,-14,9
45438.0,27,1295,839,3531,2.9466916184780634,920.565043872512,14,11,12,10,12,10,35
67748.0,28,798,1033,10104,3.0888434404123744,2202.253391415257,14,12,10,14,14,17,42
60266.0,28,935,801,4443,3.0928502149432635,1306.1822231220267,19,16,14,14,15,16,28
77165.0,27,826,1417,10401,2.477419977952775,2736.5525757785103,10,8,4,5,4,7,27
45830.0,28,1201,879,4107,3.0601587011482696,1332.0,-1,1,-5,-1,-5,-1,11
39892.0,25,756,1257,8148,2.440768139149185,1654.6081107017455,19,14,11,16,12,17,53
25219.0,22,1284,857,6585,2.9014192988638716,1777.8638868034864,17,12,14,14,11,12,27
46948.0,21,1033,853,3744,2.994318337933538,1586.180317618397,7,4,2,5,3,6,3
41078.0,27,1019,1097,6831,3.125189123730232,2142.5293463567773,10,6,6,7,8,5,18
32699.0,24,1017,1342,4212,2.9610031605337483,1189.635238213798,18,16,13,12,10,16,35
68313.0,21,815,1448,4854,2.978278175932199,1740.3723739475986,-1,-6,-5,-4,-7,-3,3
27022.0,23,750,1331,8811,2.748961435236523,2759.1129009157994,-8,-9,-8,-7,-9,-9,5
55615.0,27,1232,944,8766,2.5229846134655713,1834.7054259471736,5,2,-2,2,3,0,25
33120.0,22,1265,1342,9648,3.020460369930485,2805.8453271696926,-4,-8,-8,-9,-10,-9,7
73280.0,23,910,1296,3921,3.0210359450886943,1891.0187730427217,8,6,4,7,2,4,7
6062.0,27,971,831,11565,2.7978934158617403,1825.0260272116668,0,-2,-1,-3,-4,2,19
61228.0,21,1236,1272,9210,2.719823295107057,2575.111648064992,9,8,3,9,8,6,13
76186.0,24,1015,1218,9990,2.9361564290537903,2855.1427284813626,-7,-10,-14,-11,-12,-7,7
2205.0,26,1003,1087,5415,3.1301148429811416,1766.0804058705821,13,13,9,15,12,12,28
73707.0,26,892,1340,4752,2.8054028535413247,1350.8397388291478,0,0,-3,-4,-2,-1,13
58806.0,24,1037,1057,8118,2.463719714695043,2496.922906298871,16,11,10,14,13,10,27
35656.0,24,704,1157,5379,2.350584847316059,1437.1972724716672,-4,-9,-9,-7,-11,-9,7
33730.0,26,894,823,3510,2.444605548370831,1231.389459107069,5,7,4,6,5,6,10
72565.0,28,1216,950,10911,2.8421565256792043,2171.071624797303,-8,-11,-13,-11,-12,-9,16
15989.0,26,1251,1354,8412,2.7227918808299134,2009.4178261377099,-6,-4,-8,-6,-8,-8,20
36503.0,26,1074,1386,11397,2.338037294584047,2091.9961759047264,9,8,2,3,5,3,46
70566.0,27,856,999,3867,2.911759835900024,1362.4096300305573,18,13,11,12,12,16,27
80431.0,25,854,1403,9891,3.1578198973536065,3081.4542021584552,-11,-13,-18,-17,-15,-13,6
61639.0,25,725,823,3552,2.3483300088980763,1305.7411688386023,-15,-17,-20,-18,-20,-15,3
26908.0,26,823,875,5385,2.979831389039097,1761.1814216599041,-9,-7,-11,-11,-10,-11,5
66263.0,25,854,1423,3807,3.0447879172672545,1351.7988015973383,-3,-9,-9,-9,-5,-4,7
14355.0,27,950,958,10278,2.7960653685864845,2433.1313158150756,-13,-14,-13,-12,-14,-14,9
40136.0,28,973,1007,10854,3.077287406360156,2602.478818357606,-14,-16,-18,-14,-16,-16,9
2373.0,21,1071,944,8673,2.650753936602667,2885.4947582693685,9,5,1,4,5,4,6
15302.0,26,797,860,4602,2.8527078212048917,1050.9424341989431,-13,-12,-14,-12,-13,-15,6
77563.0,22,942,1146,6579,3.041636647405423,1589.445186220651,3,-2,-5,-2,-3,0,7
80726.0,26,1278,1381,7692,2.9185403272345254,2505.3287209466143,5,-1,-4,-2,0,-2,18
10557.0,21,1078,949,6063,3.045053713790754,2351.479534250723,1,-3,-5,-1,-2,-3,3
78957.0,26,889,1480,9918,2.5024445696506565,2069.9217376509673,-16,-17,-20,-20,-19,-17,14
29939.0,24,1293,1091,10056,2.55737858862643,1701.8013985186403,-11,-13,-16,-11,-10,-14,16
5469.0,25,839,901,10308,2.6374156122438257,2724.290733383645,7,4,6,7,4,4,13
62975.0,23,1168,994,10254,2.9496615734214733,1568.744721106656,1,-5,-6,-4,-4,-2,14
7522.0,25,1068,1106,3999,2.636236907320466,1909.7350601588694,-7,-9,-13,-14,-15,-9,5
55869.0,25,1081,1179,10758,2.8982030555486022,3213.6707983239353,-13,-15,-21,-18,-17,-18,7
19344.0,23,721,873,8217,2.862274434994796,1404.3076585990693,5,-1,1,1,-2,1,9
38198.0,26,834,1438,6213,2.9504773056467113,2115.0319146528263,-2,-3,-5,-3,-1,-3,10
10231.0,22,1138,911,6414,3.0115812270017512,2354.0807122951414,1,-5,-4,-2,-4,0,4
69065.0,23,807,1359,9906,2.8291214696027542,2925.5399501630463,12,11,8,8,7,8,14
29655.0,25,1004,992,6876,3.150495076944166,2297.9921670884783,0,-4,-6,-3,-3,-2,7
9164.0,27,1244,1147,5103,2.8995282648172025,1916.8098497242756,3,6,1,1,4,5,17
63732.0,26,905,1010,10422,2.630823756064802,2450.116731912992,-13,-14,-17,-17,-18,-16,8
45127.0,22,1079,1020,3102,2.4786868691959754,1336.6944303018547,-2,-3,-6,-5,-4,-4,4
66985.0,22,1086,1010,11082,2.442568133823077,2062.883418906653,-17,-18,-19,-15,-20,-16,7
72726.0,23,1053,894,4053,2.883254750272372,1871.307564244852,-6,-4,-9,-8,-8,-6,3
15735.0,22,911,1142,4467,2.5659204902252855,2018.3914387452203,-3,-2,-3,-2,-3,-2,4
62689.0,27,1105,1220,3984,2.3542952063270834,1071.163853012227,15,14,8,11,10,10,48
46837.0,23,987,803,11799,2.379750465681777,2379.815118869531,-14,-13,-16,-16,-18,-15,6
27980.0,23,1233,1358,11604,2.980402153043417,2475.2599863448686,5,4,-1,3,2,2,18
36054.0,25,1085,1030,5265,2.512442247080963,1421.8860713854679,6,3,-2,0,1,5,16
78147.0,27,757,960,11025,2.611832403865,1781.9090885900998,-7,-7,-11,-7,-9,-7,14
40559.0,23,907,1459,3381,2.613344904681493,1801.5992895202862,-11,-16,-17,-14,-14,-14,3
67225.0,25,872,891,5589,2.764433316578418,2006.0109670687248,-3,0,-3,-5,-2,-3,6
4854.0,27,1222,1058,9072,3.009505920691276,2469.0856607254436,3,4,0,1,2,0,19
13341.0,26,1053,1342,8634,2.5104603355868176,2230.063676220928,2,1,-3,0,-3,-1,22
17881.0,28,1137,1200,11901,2.55399836378032,2137.752090397762,-12,-13,-17,-18,-19,-13,21
44374.0,21,1139,949,5523,2.953836071471034,2059.5300434807937,2,0,-4,-1,-3,0,4
23685.0,24,1156,1148,7419,2.7199113797925385,2601.178194587983,1,-2,-4,-4,-2,1,10
11611.0,24,1197,839,6078,2.7250122504182857,1947.4783695846277,18,13,14,14,11,12,29
39903.0,25,1069,1256,5505,2.957661518242642,1780.6964929487563,-1,-5,-5,-4,-1,-4,11
22904.0,28,1224,1180,11346,2.525779898423862,2951.9024374121855,-4,-7,-11,-9,-12,-10,19
